pers,type,dt,count
Bucephalus,---,1734,1
Buda,---,1648,1
Bull,---,1617,1
C Appelton,---,1635,1
Cadmus,---,1511,1
Cadmus,---,1605,1
Caesar,---,1575,1
Caesar,---,1582,1
Cain,OT,1609,1
Cain,OT,1637,1
Cain,OT,1641,2
Cain,OT,1643,1
Callisto,---,1641,1
Callisto,---,1642,1
Callisto,---,1650,1
Callisto,---,1652,1
Cambyses,---,1688,1
Camilla,---,1579,1
Camma,person,1589,1
Cao Zhi,person,1666,1
"Cardinal Albert, governor of the Spanish Netherlands",person,1640,1
Cardinals,---,1643,1
Carolus Clusius,person,1622,1
Carpenter,Prof,1620,1
Carthaginians,Nation,1585,1
Carthusian monk,Prof,1589,1
Carthusian monk,Prof,1593,1
Cassandra,---,1585,1
Cassiopeia,---,1626,1
Catherine of Braganza,person,1590,1
Catherine of Braganza,person,1630,1
Cato the Elder,person,1643,1
Centaurs,---,1649,1
Cephalus,---,1585,1
Cephalus,---,1620,1
Cephalus,---,1636,1
Cephalus,---,1651,1
Cerberus,---,1639,1
Cerberus,---,1652,1
Ceres,---,1555,1
Ceres,---,1589,1
Ceres,---,1643,2
Chair maker,Prof,1688,1
Chandler,Prof,1530,1
Chares of Lyndus,person,1585,1
Charitas,Personification,1728,1
Charitas (Charity),Personification,1575,1
Charitas (Charity),Personification,1631,1
Charitas (Charity),Personification,1663,1
Charity,---,1643,1
Charles I,person,1585,2
Charles I,person,1610,1
Charles I,person,1641,1
Charles I,person,1667,1
Charles I as Prince of Wales,person,1548,1
Charles I as Prince of Wales,person,1600,1
Charles I as Prince of Wales,person,1650,1
"Charles I, when Prince of England",---,1585,1
Charles II,person,1585,1
Charles II,person,1590,1
Charles II,person,1688,1
Charles II of Spain,person,1579,1
Charles III de Bourbon,person,1664,1
Charles IV,person,1734,1
Charles V of Lorraine,person,1589,1
Charles V of Lorraine,person,1642,1
"Charles V, duke of Lorraine",---,1582,1
Charles de Longueval,person,1615,1
"Charles de Longueval, Comte de Bucquoy",---,1585,1
Child,---,1600,1
Child,---,1605,1
Child Christ,---,1511,1
Child Christ,---,1608,1
Child Christ,---,1641,2
Child Christ,---,1642,1
Child Christ,---,1643,1
Child Christ,---,1644,1
Child Christ,---,1645,1
Child Christ,---,1646,1
Child Christ,---,1656,1
Child Christ,---,1662,1
Child Christ,---,1677,1
Child Christ,---,1679,1
Child Christ,---,1692,1
Child Christ,---,1736,1
Chimaera,---,1648,1
Chiron,---,1638,1
Chloris,---,1573,1
Christ,NT,1498,1
Christ,NT,1501,1
Christ,NT,1509,1
Christ,NT,1520,1
Christ,NT,1526,1
Christ,NT,1528,1
Christ,NT,1540,1
Christ,NT,1545,1
Christ,NT,1551,1
Christ,NT,1552,2
Christ,NT,1559,1
Christ,NT,1560,1
Christ,NT,1561,1
Christ,NT,1562,1
Christ,NT,1565,1
Christ,NT,1566,2
Christ,NT,1567,1
Christ,NT,1573,1
Christ,NT,1575,4
Christ,NT,1576,1
Christ,NT,1577,1
Christ,NT,1583,1
Christ,NT,1585,17
Christ,NT,1586,4
Christ,NT,1588,2
Christ,NT,1589,1
Christ,NT,1590,2
Christ,NT,1592,1
Christ,NT,1593,3
Christ,NT,1594,1
Christ,NT,1596,1
Christ,NT,1597,2
Christ,NT,1598,1
Christ,NT,1599,3
Christ,NT,1600,1
Christ,NT,1601,1
Christ,NT,1605,3
Christ,NT,1606,1
Christ,NT,1608,1
Christ,NT,1615,2
Christ,NT,1617,1
Christ,NT,1618,3
Christ,NT,1619,1
Christ,NT,1620,1
Christ,NT,1622,3
Christ,NT,1628,1
Christ,NT,1629,1
Christ,NT,1630,2
Christ,NT,1634,7
Christ,NT,1637,1
Christ,NT,1641,8
Christ,NT,1642,1
Christ,NT,1643,4
Christ,NT,1644,2
Christ,NT,1645,1
Christ,NT,1646,2
Christ,NT,1647,1
Christ,NT,1649,1
Christ,NT,1650,6
Christ,NT,1651,3
Christ,NT,1652,2
Christ,NT,1656,3
Christ,NT,1657,2
Christ,NT,1665,1
Christ,NT,1667,2
Christ,NT,1671,1
Christ,NT,1672,4
Christ,NT,1673,2
Christ,NT,1674,1
Christ,NT,1678,1
Christ,NT,1682,1
Christ,NT,1688,6
Christ,NT,1695,8
Christ,NT,1732,1
Christ,NT,1746,1
Christ (Child),---,1695,1
Christ (child),---,1585,1
Christ Child,NT,1551,1
Christ Child,NT,1580,1
Christ Child,NT,1581,1
Christ Child,NT,1582,2
Christ Child,NT,1583,1
Christ Child,NT,1585,4
Christ Child,NT,1610,1
Christ Child,NT,1615,1
Christ Child,NT,1616,1
Christ Child,NT,1618,1
Christ Child,NT,1631,1
Christ Child,NT,1635,1
Christ Child,NT,1639,1
Christ Child,NT,1640,1
Christ Child,NT,1641,1
Christ Child,NT,1643,1
Christ Child,NT,1644,1
Christ Child,NT,1645,1
Christ Child,NT,1647,1
Christ Child,NT,1648,1
Christ Child,NT,1654,1
Christ Child,NT,1656,1
Christ Child,NT,1657,1
Christ Child,NT,1673,1
Christ Child,NT,1694,1
Christ Child,NT,1695,2
Christ Child,NT,1707,1
Christ Child,NT,1718,1
Christ Child,NT,1724,1
Christ Child,NT,1728,1
Christ Child,NT,1736,1
Christ Child,NT,1737,1
Christ child,---,1552,1
Christ child,---,1573,1
Christ child,---,1575,1
Christ child,---,1579,1
Christ child,---,1585,4
Christ child,---,1589,2
Christ child,---,1604,1
Christ child,---,1616,1
Christ child,---,1622,1
Christ child,---,1630,2
Christ child,---,1646,2
Christ child,---,1647,1
Christ child,---,1649,1
Christ child,---,1662,1
Christ child,---,1695,2
Christ child,---,1719,1
Christ's ministers,---,1579,1
Christoph Guarinonius Fontanus,person,1640,1
Christoph Harant,person,1583,1
Cicero,---,1659,1
Circe,---,1600,1
Circe,---,1615,1
Cistercian monks,---,1695,1
Claude Deruet,person,1646,1
Cleitus,---,1585,1
Cleopatra,---,1649,1
Cleopatra,---,1727,1
Clio,---,1672,1
Clock maker,Prof,1667,1
Cloelia,person,1640,1
Cloth shearer,Prof,1555,1
Comb maker,Prof,1584,1
Commander,Prof,1503,1
Concordia,---,1646,1
Coniuror,Prof,1605,1
Constantijn Huygens,person,1513,1
Constantine,---,1672,1
Constantine V,person,1623,1
Cornelius,NT,1565,1
Cornelius,NT,1695,2
Coronis,---,1585,1
Coronis,---,1611,1
Coronis,---,1643,1
Corregio,person,1649,1
Corvinus,Animal,1659,1
Cosimo I,person,1608,1
Cosimo I de' Medici,person,1695,1
Cosimo II,person,1664,1
Count Adolf van Nieuwenaar,person,1514,1
Couples,---,1650,1
Cow,Animal,1642,1
Creusa,---,1600,1
Creusa,---,1672,1
"Croesus, king of Lydia",person,1616,1
Crossbowman,Prof,1657,1
Cunning,Personification,1648,1
Cupid,---,1573,2
Cupid,---,1594,1
Cupid,---,1608,1
Cupid,---,1617,1
Cupid,---,1636,1
Cupid,---,1639,1
Cupid,---,1641,2
Cupid,---,1642,1
Cupid,---,1643,3
Cupid,---,1644,2
